Station Name,Time Period,Avg Daily Entries,Date
Dupont Circle,Late Night (12am-Close),0,12/4/2024
Dunn Loring,Late Night (12am-Close),0,12/4/2024
Dulles Airport,Late Night (12am-Close),0,12/4/2024
Downtown Largo,Late Night (12am-Close),0,12/4/2024
Deanwood,Late Night (12am-Close),0,12/4/2024
Crystal City,Late Night (12am-Close),0,12/4/2024
Court House,Late Night (12am-Close),0,12/4/2024
Congress Heights,Late Night (12am-Close),0,12/4/2024
Columbia Heights,Late Night (12am-Close),0,12/4/2024
College Park-U of Md,Late Night (12am-Close),0,12/4/2024
Cleveland Park,Late Night (12am-Close),0,12/4/2024
Clarendon,Late Night (12am-Close),0,12/4/2024
Cheverly,Late Night (12am-Close),0,12/4/2024
Capitol South,Late Night (12am-Close),0,12/4/2024
Capitol Heights,Late Night (12am-Close),0,12/4/2024
Brookland-CUA,Late Night (12am-Close),0,12/4/2024
Branch Ave,Late Night (12am-Close),0,12/4/2024
Braddock Road,Late Night (12am-Close),0,12/4/2024
Bethesda,Late Night (12am-Close),0,12/4/2024
Benning Road,Late Night (12am-Close),0,12/4/2024
Ballston-MU,Late Night (12am-Close),0,12/4/2024
Ashburn,Late Night (12am-Close),0,12/4/2024
Arlington Cemetery,Late Night (12am-Close),0,12/4/2024
Archives,Late Night (12am-Close),0,12/4/2024
Anacostia,Late Night (12am-Close),0,12/4/2024
Addison Road,Late Night (12am-Close),0,12/4/2024
Woodley Park,AM Peak (Open-9:30am),0.1,12/21/2024
Wiehle-Reston East,AM Peak (Open-9:30am),0.1,12/21/2024
Wheaton,AM Peak (Open-9:30am),0.2,12/21/2024
West Hyattsville,AM Peak (Open-9:30am),0.4,12/21/2024
West Falls Church,AM Peak (Open-9:30am),0.1,12/21/2024
Waterfront,AM Peak (Open-9:30am),0.2,12/21/2024
Virginia Sq-GMU,AM Peak (Open-9:30am),0.1,12/21/2024
Vienna,AM Peak (Open-9:30am),0.2,12/21/2024
Van Ness-UDC,AM Peak (Open-9:30am),0.1,12/21/2024
Van Dorn Street,AM Peak (Open-9:30am),0.1,12/21/2024
Union Station,AM Peak (Open-9:30am),0.4,12/21/2024
U Street,AM Peak (Open-9:30am),0.1,12/21/2024
Tysons,AM Peak (Open-9:30am),0.1,12/21/2024
Twinbrook,AM Peak (Open-9:30am),0.2,12/21/2024
Tenleytown-AU,AM Peak (Open-9:30am),0.1,12/21/2024
Takoma,AM Peak (Open-9:30am),0.2,12/21/2024
Suitland,AM Peak (Open-9:30am),0.2,12/21/2024
Stadium-Armory,AM Peak (Open-9:30am),0.1,12/21/2024
Spring Hill,AM Peak (Open-9:30am),0,12/21/2024
Southern Ave,AM Peak (Open-9:30am),0.3,12/21/2024
Smithsonian,AM Peak (Open-9:30am),0,12/21/2024
Silver Spring,AM Peak (Open-9:30am),0.4,12/21/2024
Shaw-Howard U,AM Peak (Open-9:30am),0.1,12/21/2024
Shady Grove,AM Peak (Open-9:30am),0.5,12/21/2024
Rosslyn,AM Peak (Open-9:30am),0.2,12/21/2024
Ronald Reagan Washington National Airport,AM Peak (Open-9:30am),0.3,12/21/2024
Rockville,AM Peak (Open-9:30am),0.2,12/21/2024
Rhode Island Ave,AM Peak (Open-9:30am),0.4,12/21/2024
Reston Town Center,AM Peak (Open-9:30am),0,12/21/2024
Potomac Yard,AM Peak (Open-9:30am),0.1,12/21/2024
Potomac Ave,AM Peak (Open-9:30am),0.2,12/21/2024
Pentagon City,AM Peak (Open-9:30am),0.3,12/21/2024
Pentagon,AM Peak (Open-9:30am),0.2,12/21/2024
North Bethesda,AM Peak (Open-9:30am),0.1,12/21/2024
NoMa-Gallaudet U,AM Peak (Open-9:30am),0.5,12/21/2024
New Carrollton,AM Peak (Open-9:30am),0.2,12/21/2024
Naylor Road,AM Peak (Open-9:30am),0.1,12/21/2024
Navy Yard-Ballpark,AM Peak (Open-9:30am),0.3,12/21/2024
Mt Vernon Sq,AM Peak (Open-9:30am),0.2,12/21/2024
Morgan Boulevard,AM Peak (Open-9:30am),0.1,12/21/2024
Minnesota Ave,AM Peak (Open-9:30am),0.1,12/21/2024
Metro Center,AM Peak (Open-9:30am),0.3,12/21/2024
Medical Center,AM Peak (Open-9:30am),0.1,12/21/2024
McPherson Sq,AM Peak (Open-9:30am),0,12/21/2024
McLean,AM Peak (Open-9:30am),0,12/21/2024
Loudoun Gateway,AM Peak (Open-9:30am),0,12/21/2024
Landover,AM Peak (Open-9:30am),0.1,12/21/2024
L'Enfant Plaza,AM Peak (Open-9:30am),0.2,12/21/2024
ing St-Old Town,AM Peak (Open-9:30am),0.3,12/21/2024
Judiciary Square,AM Peak (Open-9:30am),0,12/21/2024
Innovation Center,AM Peak (Open-9:30am),0.1,12/21/2024
Hyattsville Crossing,AM Peak (Open-9:30am),0.4,12/21/2024
Huntington,AM Peak (Open-9:30am),0.3,12/21/2024
Herndon,AM Peak (Open-9:30am),0.1,12/21/2024
Grosvenor-Strathmore,AM Peak (Open-9:30am),0.1,12/21/2024
Greensboro,AM Peak (Open-9:30am),0,12/21/2024
Greenbelt,AM Peak (Open-9:30am),0.3,12/21/2024
Glenmont,AM Peak (Open-9:30am),0.3,12/21/2024
Georgia Ave-Petworth,AM Peak (Open-9:30am),0.3,12/21/2024
Gallery Place,AM Peak (Open-9:30am),0.4,12/21/2024
Friendship Heights,AM Peak (Open-9:30am),0.2,12/21/2024
Franconia-Springfield,AM Peak (Open-9:30am),0.2,12/21/2024
Fort Totten,AM Peak (Open-9:30am),0.7,12/21/2024
Forest Glen,AM Peak (Open-9:30am),0.1,12/21/2024
Foggy Bottom-GWU,AM Peak (Open-9:30am),0.6,12/21/2024
Federal Triangle,AM Peak (Open-9:30am),0.2,12/21/2024
Federal Center SW,AM Peak (Open-9:30am),0,12/21/2024
Farragut West,AM Peak (Open-9:30am),0,12/21/2024
Farragut North,AM Peak (Open-9:30am),0.2,12/21/2024
Eisenhower Ave,AM Peak (Open-9:30am),0.1,12/21/2024
Eastern Market,AM Peak (Open-9:30am),0.1,12/21/2024
East Falls Church,AM Peak (Open-9:30am),0.2,12/21/2024
Dupont Circle,AM Peak (Open-9:30am),0.3,12/21/2024
Dunn Loring,AM Peak (Open-9:30am),0.1,12/21/2024
Dulles Airport,AM Peak (Open-9:30am),0.2,12/21/2024
Downtown Largo,AM Peak (Open-9:30am),0.1,12/21/2024
Deanwood,AM Peak (Open-9:30am),0.1,12/21/2024
Crystal City,AM Peak (Open-9:30am),0.2,12/21/2024
Court House,AM Peak (Open-9:30am),0.1,12/21/2024
Congress Heights,AM Peak (Open-9:30am),0.1,12/21/2024
Columbia Heights,AM Peak (Open-9:30am),0.5,12/21/2024
College Park-U of Md,AM Peak (Open-9:30am),0.1,12/21/2024
Cleveland Park,AM Peak (Open-9:30am),0.1,12/21/2024
Clarendon,AM Peak (Open-9:30am),0.1,12/21/2024
Cheverly,AM Peak (Open-9:30am),0,12/21/2024
Capitol South,AM Peak (Open-9:30am),0,12/21/2024
Capitol Heights,AM Peak (Open-9:30am),0.1,12/21/2024
Brookland-CUA,AM Peak (Open-9:30am),0.2,12/21/2024
Branch Ave,AM Peak (Open-9:30am),0.2,12/21/2024
Braddock Road,AM Peak (Open-9:30am),0.1,12/21/2024
Bethesda,AM Peak (Open-9:30am),0.2,12/21/2024
Benning Road,AM Peak (Open-9:30am),0.2,12/21/2024
Ballston-MU,AM Peak (Open-9:30am),0.2,12/21/2024
Ashburn,AM Peak (Open-9:30am),0.1,12/21/2024
Arlington Cemetery,AM Peak (Open-9:30am),0,12/21/2024
Archives,AM Peak (Open-9:30am),0,12/21/2024
Anacostia,AM Peak (Open-9:30am),0.4,12/21/2024
Addison Road,AM Peak (Open-9:30am),0.2,12/21/2024
Woodley Park,Midday (9:30am-3pm),1,12/21/2024
Wiehle-Reston East,Midday (9:30am-3pm),0.4,12/21/2024
Wheaton,Midday (9:30am-3pm),0.6,12/21/2024
West Hyattsville,Midday (9:30am-3pm),0.7,12/21/2024
West Falls Church,Midday (9:30am-3pm),0.2,12/21/2024
Waterfront,Midday (9:30am-3pm),1,12/21/2024
Virginia Sq-GMU,Midday (9:30am-3pm),0.4,12/21/2024
Vienna,Midday (9:30am-3pm),1,12/21/2024
Van Ness-UDC,Midday (9:30am-3pm),0.9,12/21/2024
Van Dorn Street,Midday (9:30am-3pm),0.3,12/21/2024
Union Station,Midday (9:30am-3pm),2.6,12/21/2024
U Street,Midday (9:30am-3pm),1.2,12/21/2024
Tysons,Midday (9:30am-3pm),0.6,12/21/2024
Twinbrook,Midday (9:30am-3pm),0.6,12/21/2024
Tenleytown-AU,Midday (9:30am-3pm),0.7,12/21/2024
Takoma,Midday (9:30am-3pm),0.9,12/21/2024
Suitland,Midday (9:30am-3pm),0.4,12/21/2024
Stadium-Armory,Midday (9:30am-3pm),0.3,12/21/2024
Spring Hill,Midday (9:30am-3pm),0.2,12/21/2024
Southern Ave,Midday (9:30am-3pm),0.4,12/21/2024
Smithsonian,Midday (9:30am-3pm),0.4,12/21/2024
Silver Spring,Midday (9:30am-3pm),1.5,12/21/2024
Shaw-Howard U,Midday (9:30am-3pm),0.7,12/21/2024
Shady Grove,Midday (9:30am-3pm),1.5,12/21/2024
Rosslyn,Midday (9:30am-3pm),1.3,12/21/2024
Ronald Reagan Washington National Airport,Midday (9:30am-3pm),1.2,12/21/2024
Rockville,Midday (9:30am-3pm),0.5,12/21/2024
Rhode Island Ave,Midday (9:30am-3pm),1.2,12/21/2024
Reston Town Center,Midday (9:30am-3pm),0.2,12/21/2024
Potomac Yard,Midday (9:30am-3pm),0.4,12/21/2024
Potomac Ave,Midday (9:30am-3pm),0.6,12/21/2024
Pentagon City,Midday (9:30am-3pm),2.4,12/21/2024
Pentagon,Midday (9:30am-3pm),0.4,12/21/2024
North Bethesda,Midday (9:30am-3pm),0.5,12/21/2024
NoMa-Gallaudet U,Midday (9:30am-3pm),2.6,12/21/2024
New Carrollton,Midday (9:30am-3pm),0.6,12/21/2024
Naylor Road,Midday (9:30am-3pm),0.2,12/21/2024
Navy Yard-Ballpark,Midday (9:30am-3pm),1.5,12/21/2024
Mt Vernon Sq,Midday (9:30am-3pm),1.1,12/21/2024
Morgan Boulevard,Midday (9:30am-3pm),0.1,12/21/2024
Minnesota Ave,Midday (9:30am-3pm),0.3,12/21/2024
Metro Center,Midday (9:30am-3pm),1.8,12/21/2024
Medical Center,Midday (9:30am-3pm),0.3,12/21/2024
McPherson Sq,Midday (9:30am-3pm),0,12/21/2024
McLean,Midday (9:30am-3pm),0.2,12/21/2024
Loudoun Gateway,Midday (9:30am-3pm),0.1,12/21/2024
Landover,Midday (9:30am-3pm),0.1,12/21/2024
L'Enfant Plaza,Midday (9:30am-3pm),1.2,12/21/2024
ing St-Old Town,Midday (9:30am-3pm),1,12/21/2024
Judiciary Square,Midday (9:30am-3pm),0.4,12/21/2024
Innovation Center,Midday (9:30am-3pm),0.3,12/21/2024
Hyattsville Crossing,Midday (9:30am-3pm),0.8,12/21/2024
Huntington,Midday (9:30am-3pm),1,12/21/2024
Herndon,Midday (9:30am-3pm),0.3,12/21/2024
Grosvenor-Strathmore,Midday (9:30am-3pm),0.7,12/21/2024
Greensboro,Midday (9:30am-3pm),0.2,12/21/2024
Greenbelt,Midday (9:30am-3pm),0.9,12/21/2024
Glenmont,Midday (9:30am-3pm),0.8,12/21/2024
Georgia Ave-Petworth,Midday (9:30am-3pm),1.2,12/21/2024
Gallery Place,Midday (9:30am-3pm),4.1,12/21/2024
Friendship Heights,Midday (9:30am-3pm),0.8,12/21/2024
Franconia-Springfield,Midday (9:30am-3pm),1,12/21/2024
Fort Totten,Midday (9:30am-3pm),1.5,12/21/2024
Forest Glen,Midday (9:30am-3pm),0.3,12/21/2024
Foggy Bottom-GWU,Midday (9:30am-3pm),3.1,12/21/2024
Federal Triangle,Midday (9:30am-3pm),1.1,12/21/2024
Federal Center SW,Midday (9:30am-3pm),0.3,12/21/2024
Farragut West,Midday (9:30am-3pm),0,12/21/2024
Farragut North,Midday (9:30am-3pm),1.3,12/21/2024
Eisenhower Ave,Midday (9:30am-3pm),0.3,12/21/2024
Eastern Market,Midday (9:30am-3pm),1.1,12/21/2024
East Falls Church,Midday (9:30am-3pm),0.8,12/21/2024
Dupont Circle,Midday (9:30am-3pm),3,12/21/2024
Dunn Loring,Midday (9:30am-3pm),0.3,12/21/2024
Dulles Airport,Midday (9:30am-3pm),0.4,12/21/2024
Downtown Largo,Midday (9:30am-3pm),0.4,12/21/2024
Deanwood,Midday (9:30am-3pm),0.2,12/21/2024
Crystal City,Midday (9:30am-3pm),1,12/21/2024
Court House,Midday (9:30am-3pm),0.8,12/21/2024
Congress Heights,Midday (9:30am-3pm),0.3,12/21/2024
Columbia Heights,Midday (9:30am-3pm),2.6,12/21/2024
College Park-U of Md,Midday (9:30am-3pm),0.6,12/21/2024
Cleveland Park,Midday (9:30am-3pm),0.8,12/21/2024
Clarendon,Midday (9:30am-3pm),0.8,12/21/2024
Cheverly,Midday (9:30am-3pm),0.1,12/21/2024
Capitol South,Midday (9:30am-3pm),0.4,12/21/2024
Capitol Heights,Midday (9:30am-3pm),0.3,12/21/2024
Brookland-CUA,Midday (9:30am-3pm),0.8,12/21/2024
Branch Ave,Midday (9:30am-3pm),0.4,12/21/2024
Braddock Road,Midday (9:30am-3pm),0.6,12/21/2024
Bethesda,Midday (9:30am-3pm),1.2,12/21/2024
Benning Road,Midday (9:30am-3pm),0.4,12/21/2024
Ballston-MU,Midday (9:30am-3pm),1.2,12/21/2024
Ashburn,Midday (9:30am-3pm),0.4,12/21/2024
Arlington Cemetery,Midday (9:30am-3pm),0.2,12/21/2024
Archives,Midday (9:30am-3pm),0.7,12/21/2024
Anacostia,Midday (9:30am-3pm),0.9,12/21/2024
Addison Road,Midday (9:30am-3pm),0.3,12/21/2024
Woodley Park,PM Peak (3pm-7pm),0.9,12/21/2024
Wiehle-Reston East,PM Peak (3pm-7pm),0.2,12/21/2024
Wheaton,PM Peak (3pm-7pm),0.6,12/21/2024
West Hyattsville,PM Peak (3pm-7pm),0.3,12/21/2024
West Falls Church,PM Peak (3pm-7pm),0.1,12/21/2024
Waterfront,PM Peak (3pm-7pm),0.8,12/21/2024
Virginia Sq-GMU,PM Peak (3pm-7pm),0.3,12/21/2024
Vienna,PM Peak (3pm-7pm),0.5,12/21/2024
Van Ness-UDC,PM Peak (3pm-7pm),0.5,12/21/2024
Van Dorn Street,PM Peak (3pm-7pm),0.2,12/21/2024
Union Station,PM Peak (3pm-7pm),2.3,12/21/2024
U Street,PM Peak (3pm-7pm),1,12/21/2024
Tysons,PM Peak (3pm-7pm),1,12/21/2024
Twinbrook,PM Peak (3pm-7pm),0.4,12/21/2024
Tenleytown-AU,PM Peak (3pm-7pm),0.5,12/21/2024
Takoma,PM Peak (3pm-7pm),0.5,12/21/2024
Suitland,PM Peak (3pm-7pm),0.2,12/21/2024
Stadium-Armory,PM Peak (3pm-7pm),0.3,12/21/2024
Spring Hill,PM Peak (3pm-7pm),0.1,12/21/2024
Southern Ave,PM Peak (3pm-7pm),0.2,12/21/2024
Smithsonian,PM Peak (3pm-7pm),0.9,12/21/2024
Silver Spring,PM Peak (3pm-7pm),1.1,12/21/2024
Shaw-Howard U,PM Peak (3pm-7pm),0.5,12/21/2024
Shady Grove,PM Peak (3pm-7pm),0.8,12/21/2024
Rosslyn,PM Peak (3pm-7pm),0.9,12/21/2024
Ronald Reagan Washington National Airport,PM Peak (3pm-7pm),1.1,12/21/2024
Rockville,PM Peak (3pm-7pm),0.4,12/21/2024
Rhode Island Ave,PM Peak (3pm-7pm),0.8,12/21/2024
Reston Town Center,PM Peak (3pm-7pm),0.1,12/21/2024
Potomac Yard,PM Peak (3pm-7pm),0.3,12/21/2024
Potomac Ave,PM Peak (3pm-7pm),0.3,12/21/2024
Pentagon City,PM Peak (3pm-7pm),2.8,12/21/2024
Pentagon,PM Peak (3pm-7pm),0.2,12/21/2024
North Bethesda,PM Peak (3pm-7pm),0.3,12/21/2024
NoMa-Gallaudet U,PM Peak (3pm-7pm),1.9,12/21/2024
New Carrollton,PM Peak (3pm-7pm),0.3,12/21/2024
Naylor Road,PM Peak (3pm-7pm),0.1,12/21/2024
Navy Yard-Ballpark,PM Peak (3pm-7pm),1.1,12/21/2024
Mt Vernon Sq,PM Peak (3pm-7pm),0.7,12/21/2024
Morgan Boulevard,PM Peak (3pm-7pm),0.1,12/21/2024
Minnesota Ave,PM Peak (3pm-7pm),0.2,12/21/2024
Metro Center,PM Peak (3pm-7pm),2.9,12/21/2024
Medical Center,PM Peak (3pm-7pm),0.2,12/21/2024
McPherson Sq,PM Peak (3pm-7pm),0,12/21/2024
McLean,PM Peak (3pm-7pm),0.2,12/21/2024
Loudoun Gateway,PM Peak (3pm-7pm),0,12/21/2024
Landover,PM Peak (3pm-7pm),0.1,12/21/2024
L'Enfant Plaza,PM Peak (3pm-7pm),2.1,12/21/2024
ing St-Old Town,PM Peak (3pm-7pm),0.9,12/21/2024
Judiciary Square,PM Peak (3pm-7pm),0.6,12/21/2024
Innovation Center,PM Peak (3pm-7pm),0.2,12/21/2024
Hyattsville Crossing,PM Peak (3pm-7pm),0.8,12/21/2024
Huntington,PM Peak (3pm-7pm),0.4,12/21/2024
Herndon,PM Peak (3pm-7pm),0.1,12/21/2024
Grosvenor-Strathmore,PM Peak (3pm-7pm),0.4,12/21/2024
Greensboro,PM Peak (3pm-7pm),0.1,12/21/2024
Greenbelt,PM Peak (3pm-7pm),0.5,12/21/2024
Glenmont,PM Peak (3pm-7pm),0.4,12/21/2024
Georgia Ave-Petworth,PM Peak (3pm-7pm),0.7,12/21/2024
Gallery Place,PM Peak (3pm-7pm),6.8,12/21/2024
Friendship Heights,PM Peak (3pm-7pm),0.7,12/21/2024
Franconia-Springfield,PM Peak (3pm-7pm),0.5,12/21/2024
Fort Totten,PM Peak (3pm-7pm),0.9,12/21/2024
Forest Glen,PM Peak (3pm-7pm),0.2,12/21/2024
Foggy Bottom-GWU,PM Peak (3pm-7pm),3.9,12/21/2024
Federal Triangle,PM Peak (3pm-7pm),1.1,12/21/2024
Federal Center SW,PM Peak (3pm-7pm),0.4,12/21/2024
Farragut West,PM Peak (3pm-7pm),0,12/21/2024
Farragut North,PM Peak (3pm-7pm),1.6,12/21/2024
Eisenhower Ave,PM Peak (3pm-7pm),0.2,12/21/2024
Eastern Market,PM Peak (3pm-7pm),0.8,12/21/2024
East Falls Church,PM Peak (3pm-7pm),0.3,12/21/2024
Dupont Circle,PM Peak (3pm-7pm),3,12/21/2024
Dunn Loring,PM Peak (3pm-7pm),0.2,12/21/2024
Dulles Airport,PM Peak (3pm-7pm),0.5,12/21/2024
Downtown Largo,PM Peak (3pm-7pm),0.2,12/21/2024
Deanwood,PM Peak (3pm-7pm),0.1,12/21/2024
Crystal City,PM Peak (3pm-7pm),0.7,12/21/2024
Court House,PM Peak (3pm-7pm),0.5,12/21/2024
Congress Heights,PM Peak (3pm-7pm),0.2,12/21/2024
Columbia Heights,PM Peak (3pm-7pm),1.9,12/21/2024
College Park-U of Md,PM Peak (3pm-7pm),0.3,12/21/2024
Cleveland Park,PM Peak (3pm-7pm),0.5,12/21/2024
Clarendon,PM Peak (3pm-7pm),0.6,12/21/2024
Cheverly,PM Peak (3pm-7pm),0.1,12/21/2024
Capitol South,PM Peak (3pm-7pm),0.4,12/21/2024
Capitol Heights,PM Peak (3pm-7pm),0.1,12/21/2024
Brookland-CUA,PM Peak (3pm-7pm),0.6,12/21/2024
Branch Ave,PM Peak (3pm-7pm),0.3,12/21/2024
Braddock Road,PM Peak (3pm-7pm),0.4,12/21/2024
Bethesda,PM Peak (3pm-7pm),0.9,12/21/2024
Benning Road,PM Peak (3pm-7pm),0.2,12/21/2024
Ballston-MU,PM Peak (3pm-7pm),0.7,12/21/2024
Ashburn,PM Peak (3pm-7pm),0.3,12/21/2024
Arlington Cemetery,PM Peak (3pm-7pm),0.2,12/21/2024
Archives,PM Peak (3pm-7pm),1.3,12/21/2024
Anacostia,PM Peak (3pm-7pm),0.5,12/21/2024
Addison Road,PM Peak (3pm-7pm),0.2,12/21/2024
Woodley Park,Evening (7pm-12am),1,12/21/2024
Wiehle-Reston East,Evening (7pm-12am),0.1,12/21/2024
Wheaton,Evening (7pm-12am),0.2,12/21/2024
West Hyattsville,Evening (7pm-12am),0.1,12/21/2024
West Falls Church,Evening (7pm-12am),0,12/21/2024
Waterfront,Evening (7pm-12am),0.7,12/21/2024
Virginia Sq-GMU,Evening (7pm-12am),0.1,12/21/2024
Vienna,Evening (7pm-12am),0.2,12/21/2024
Van Ness-UDC,Evening (7pm-12am),0.2,12/21/2024
Van Dorn Street,Evening (7pm-12am),0.1,12/21/2024
Union Station,Evening (7pm-12am),1.4,12/21/2024
U Street,Evening (7pm-12am),0.9,12/21/2024
Tysons,Evening (7pm-12am),0.7,12/21/2024
Twinbrook,Evening (7pm-12am),0.2,12/21/2024
Tenleytown-AU,Evening (7pm-12am),0.2,12/21/2024
Takoma,Evening (7pm-12am),0.2,12/21/2024
Suitland,Evening (7pm-12am),0.1,12/21/2024
Stadium-Armory,Evening (7pm-12am),0.1,12/21/2024
Spring Hill,Evening (7pm-12am),0.1,12/21/2024
Southern Ave,Evening (7pm-12am),0.1,12/21/2024
Smithsonian,Evening (7pm-12am),0.1,12/21/2024
Silver Spring,Evening (7pm-12am),0.5,12/21/2024
Shaw-Howard U,Evening (7pm-12am),0.3,12/21/2024
Shady Grove,Evening (7pm-12am),0.3,12/21/2024
Rosslyn,Evening (7pm-12am),0.4,12/21/2024
Ronald Reagan Washington National Airport,Evening (7pm-12am),1,12/21/2024
Rockville,Evening (7pm-12am),0.2,12/21/2024
Rhode Island Ave,Evening (7pm-12am),0.4,12/21/2024
Reston Town Center,Evening (7pm-12am),0.1,12/21/2024
Potomac Yard,Evening (7pm-12am),0.1,12/21/2024
Potomac Ave,Evening (7pm-12am),0.1,12/21/2024
Pentagon City,Evening (7pm-12am),1.2,12/21/2024
Pentagon,Evening (7pm-12am),0.1,12/21/2024
North Bethesda,Evening (7pm-12am),0.2,12/21/2024
NoMa-Gallaudet U,Evening (7pm-12am),0.8,12/21/2024
New Carrollton,Evening (7pm-12am),0.1,12/21/2024
Naylor Road,Evening (7pm-12am),0.1,12/21/2024
Navy Yard-Ballpark,Evening (7pm-12am),0.7,12/21/2024
Mt Vernon Sq,Evening (7pm-12am),0.5,12/21/2024
Morgan Boulevard,Evening (7pm-12am),0,12/21/2024
Minnesota Ave,Evening (7pm-12am),0.1,12/21/2024
Metro Center,Evening (7pm-12am),1.6,12/21/2024
Medical Center,Evening (7pm-12am),0.1,12/21/2024
McPherson Sq,Evening (7pm-12am),0,12/21/2024
McLean,Evening (7pm-12am),0.1,12/21/2024
Loudoun Gateway,Evening (7pm-12am),0,12/21/2024
Landover,Evening (7pm-12am),0,12/21/2024
L'Enfant Plaza,Evening (7pm-12am),0.9,12/21/2024
ing St-Old Town,Evening (7pm-12am),0.4,12/21/2024
Judiciary Square,Evening (7pm-12am),0.2,12/21/2024
Innovation Center,Evening (7pm-12am),0.1,12/21/2024
Hyattsville Crossing,Evening (7pm-12am),0.3,12/21/2024
Huntington,Evening (7pm-12am),0.2,12/21/2024
Herndon,Evening (7pm-12am),0.1,12/21/2024
Grosvenor-Strathmore,Evening (7pm-12am),0.1,12/21/2024
Greensboro,Evening (7pm-12am),0.1,12/21/2024
Greenbelt,Evening (7pm-12am),0.2,12/21/2024
Glenmont,Evening (7pm-12am),0.1,12/21/2024
Georgia Ave-Petworth,Evening (7pm-12am),0.4,12/21/2024
Gallery Place,Evening (7pm-12am),3.9,12/21/2024
Friendship Heights,Evening (7pm-12am),0.3,12/21/2024
Franconia-Springfield,Evening (7pm-12am),0.2,12/21/2024
Fort Totten,Evening (7pm-12am),0.3,12/21/2024
Forest Glen,Evening (7pm-12am),0.1,12/21/2024
Foggy Bottom-GWU,Evening (7pm-12am),2.2,12/21/2024
Federal Triangle,Evening (7pm-12am),0.8,12/21/2024
Federal Center SW,Evening (7pm-12am),0.1,12/21/2024
Farragut West,Evening (7pm-12am),0,12/21/2024
Farragut North,Evening (7pm-12am),1,12/21/2024
Eisenhower Ave,Evening (7pm-12am),0.1,12/21/2024
Eastern Market,Evening (7pm-12am),0.3,12/21/2024
East Falls Church,Evening (7pm-12am),0.1,12/21/2024
Dupont Circle,Evening (7pm-12am),1.5,12/21/2024
Dunn Loring,Evening (7pm-12am),0.1,12/21/2024
Dulles Airport,Evening (7pm-12am),0.4,12/21/2024
Downtown Largo,Evening (7pm-12am),0.1,12/21/2024
Deanwood,Evening (7pm-12am),0,12/21/2024
Crystal City,Evening (7pm-12am),0.3,12/21/2024
Court House,Evening (7pm-12am),0.2,12/21/2024
Congress Heights,Evening (7pm-12am),0.1,12/21/2024
Columbia Heights,Evening (7pm-12am),0.9,12/21/2024
College Park-U of Md,Evening (7pm-12am),0.1,12/21/2024
Cleveland Park,Evening (7pm-12am),0.3,12/21/2024
Clarendon,Evening (7pm-12am),0.4,12/21/2024
Cheverly,Evening (7pm-12am),0,12/21/2024
Capitol South,Evening (7pm-12am),0.1,12/21/2024
Capitol Heights,Evening (7pm-12am),0.1,12/21/2024
Brookland-CUA,Evening (7pm-12am),0.2,12/21/2024
Branch Ave,Evening (7pm-12am),0.1,12/21/2024
Braddock Road,Evening (7pm-12am),0.1,12/21/2024
Bethesda,Evening (7pm-12am),0.5,12/21/2024
Benning Road,Evening (7pm-12am),0.1,12/21/2024
Ballston-MU,Evening (7pm-12am),0.4,12/21/2024
Ashburn,Evening (7pm-12am),0.1,12/21/2024
Arlington Cemetery,Evening (7pm-12am),0,12/21/2024
Archives,Evening (7pm-12am),0.5,12/21/2024
Anacostia,Evening (7pm-12am),0.2,12/21/2024
Addison Road,Evening (7pm-12am),0.1,12/21/2024
Woodley Park,Late Night (12am-Close),0,12/21/2024
Wiehle-Reston East,Late Night (12am-Close),0,12/21/2024
Wheaton,Late Night (12am-Close),0,12/21/2024
West Hyattsville,Late Night (12am-Close),0,12/21/2024
West Falls Church,Late Night (12am-Close),0,12/21/2024
Waterfront,Late Night (12am-Close),0.1,12/21/2024
Virginia Sq-GMU,Late Night (12am-Close),0,12/21/2024
Vienna,Late Night (12am-Close),0,12/21/2024
Van Ness-UDC,Late Night (12am-Close),0,12/21/2024
Van Dorn Street,Late Night (12am-Close),0,12/21/2024
Union Station,Late Night (12am-Close),0.1,12/21/2024
U Street,Late Night (12am-Close),0.1,12/21/2024
Tysons,Late Night (12am-Close),0,12/21/2024
Twinbrook,Late Night (12am-Close),0,12/21/2024
Tenleytown-AU,Late Night (12am-Close),0,12/21/2024
Takoma,Late Night (12am-Close),0,12/21/2024
Suitland,Late Night (12am-Close),0,12/21/2024
Stadium-Armory,Late Night (12am-Close),0,12/21/2024
Spring Hill,Late Night (12am-Close),0,12/21/2024
Southern Ave,Late Night (12am-Close),0,12/21/2024
Smithsonian,Late Night (12am-Close),0,12/21/2024
Silver Spring,Late Night (12am-Close),0,12/21/2024
Shaw-Howard U,Late Night (12am-Close),0,12/21/2024
Shady Grove,Late Night (12am-Close),0,12/21/2024
Rosslyn,Late Night (12am-Close),0,12/21/2024
Ronald Reagan Washington National Airport,Late Night (12am-Close),0.1,12/21/2024
Rockville,Late Night (12am-Close),0,12/21/2024
Rhode Island Ave,Late Night (12am-Close),0,12/21/2024
Reston Town Center,Late Night (12am-Close),0,12/21/2024
Potomac Yard,Late Night (12am-Close),0,12/21/2024
Potomac Ave,Late Night (12am-Close),0,12/21/2024
Pentagon City,Late Night (12am-Close),0,12/21/2024
Pentagon,Late Night (12am-Close),0,12/21/2024
